,StartStation Id,EndStation Id,count
209,14,749,2
210,14,762,3
211,14,787,2
212,14,795,1
213,14,798,4
214,14,818,1
215,15,15,5
216,15,43,3
217,15,47,1
218,15,54,1
219,15,71,1
220,15,83,3
221,15,161,2
222,15,166,1
223,15,171,1
224,15,191,1
225,15,275,1
226,15,307,2
227,15,325,1
228,15,338,2
229,15,366,2
230,15,379,2
231,15,404,1
232,15,409,1
233,15,427,4
234,15,432,2
235,15,457,3
236,15,481,2
237,15,541,1
238,15,622,3
239,15,706,1
240,16,12,1
241,16,19,2
242,16,116,2
243,16,136,3
244,16,141,1
245,16,214,1
246,16,338,2
247,16,350,1
248,16,388,1
249,16,593,1
250,16,810,2
251,16,815,1
252,17,17,2
253,17,21,1
254,17,57,1
255,17,222,3
256,17,292,2
257,17,321,1
258,17,364,1
259,17,497,1
260,18,18,4
261,18,39,2
262,18,53,1
263,18,57,1
264,18,166,5
265,18,220,1
266,18,225,1
267,18,327,1
268,18,335,2
269,18,372,1
270,18,374,1
271,18,387,4
272,18,388,1
273,18,457,1
274,18,469,2
275,18,481,2
276,18,587,2
277,18,632,1
278,18,730,2
279,18,815,2
280,18,830,1
281,19,19,5
282,19,233,2
283,19,242,1
284,19,318,1
285,19,326,1
286,19,343,1
287,19,388,2
288,19,430,1
289,20,20,1
290,20,204,1
291,20,457,1
292,20,545,2
293,21,12,2
294,21,22,1
295,21,193,1
296,21,229,2
297,21,307,2
298,21,341,1
299,21,572,1
300,22,11,1
301,22,14,1
302,22,22,2
303,22,93,1
304,22,166,2
305,22,335,1
306,22,383,1
307,22,433,2
308,22,541,3
309,22,676,2
310,22,695,1
311,22,785,1
312,23,24,2
313,23,51,1
314,23,160,1
315,23,341,1
316,23,372,1
317,23,436,1
318,24,14,4
319,24,18,2
320,24,24,2
321,24,38,2
322,24,57,1
323,24,77,2
324,24,83,2
325,24,116,2
326,24,133,1
327,24,162,1
328,24,191,2
329,24,199,1
330,24,213,1
331,24,226,2
332,24,228,1
333,24,233,2
334,24,249,4
335,24,331,1
336,24,335,1
337,24,356,1
338,24,428,2
339,24,449,1
340,24,480,1
341,24,541,2
342,24,587,1
343,24,620,2
344,24,695,1
345,24,801,1
